IDString,Description,Type,Comment
Hardened Ammo,Hit em' harder with harder rounds,Stat,
Dynamic Loader,Fire as often as you like.,Stat,
Hardened Armor,Impassable Defense. On paper.,Stat,
Fire Control System,Improved combat capabilities,Stat,
Polished Trigger,Ensure a satisfying trigger pull.,Stat,
Improved Optics,Like glasses but for your optics.,Stat,
Turbocharger,Quickly go from here to there.,Stat,
Laser Sight,Pinpoint your next target.,Stat,
Braced Internals,Defend aganist the harshest of blows.,Stat,
Exposed Inductor,Shiny yet dangerous coils.,PAbility,
R.T.G,Harness nuclear power.,PAbility,
Rocket Pods,More bang per second.,PAbility,
Gas Canister,Burning hot beverage.,PAbility,
Tesla Pack,Electric therapy.,PAbility,
Sticky Bomb,Sticks better than super glue.,PAbility,
Lighter Fluid,Apply lightly and frequently.,PAbility,
Scavengers Eye,See the money.,PAbility,
Emergency Overclock,When you give it your all ...,PAbility,
Embracing Bind,Locked in for eternity.,PAbility,
Stun Grenades,Stop them in their tracks.,PAbility,
Optical Battery,Charge for maximum damage.,PAbility,
Advanced Targeting,Deal more damage to healthy targets.,PAbility,ROR2: Crowbar
